Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nerol,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soybean oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olive oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm kernel oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat germ oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tallow,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea tree oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung oil,plant oil/animal fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-hexene,ethylene,"== production ==
1-hexene is commonly manufactured by two general routes: (i) full-range processes via the oligomerization of ethylene and (ii) on-purpose technology.",linde and sabic have developed the ??-sablin technology using the oligomerization of ethylene to produce 21 percent 1-hexene.,an on purpose route to 1-hexene using ethylene trimerization was first brought on stream in qatar in 2003 by chevron-phillips.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isophthalic acid,m-xylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copper oxide,copper,copper oxide is a compound from the two elements copper and oxygen.,"copper oxide may refer to:
copper(i) oxide (cuprous oxide, cu2o)
copper(ii) oxide (cupric oxide, cuo)
copper peroxide (cuo2)
copper(iii) oxide (cu2o3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glyoxal,acetaldehyde,commercial glyoxal is prepared either by the gas-phase oxidation of ethylene glycol in the presence of a silver or copper catalyst (the laporte process) or by the liquid-phase oxidation of acetaldehyde with nitric acid.,glyoxal may be synthesized in the laboratory by oxidation of acetaldehyde with selenious acid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iodic acid,iodine,iodic acid contains iodine in the oxidation state +5 and it is one of the most stable oxo-acids of the halogens in its pure state.,"when iodic acid is carefully heated, it dehydrates to iodine pentoxide.","when iodic acid acts as oxidizer, then the product of the reaction is either iodine, or iodide ion.","in concentrated hydrochloric acid), iodic acid is reduced to iodine trichloride, a golden yellow compound in solution and no further reduction occurs.","== use in salt industry ==
iodic acid can be used to synthesize sodium or potassium iodate for increasing iodine content of salt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,4-benzoquinone",quinic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitric acid,ammonia,"prior to the introduction of the haber process for the production of ammonia in 1913, nitric acid was produced using the birkeland?€?eyde process, also known as the arc process.",nitric acid is neutralized with ammonia to give ammonium nitrate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butyraldehyde,propene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-1-butanol,2-butene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tert-amyl alcohol,2-methyl-2-butene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-butanol,propylene,"== production ==
n-butanol is produced industrially from the petrochemical feedstock propylene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propionaldehyde,ethylene,"== production ==
propionaldehyde is mainly produced industrially through hydroformylation, by combining synthesis gas (carbon monoxide and hydrogen) with ethylene using a metal (typically rhodium) catalyst:
co + h2 + c2h4 ??? ch3ch2cho
in this way, severa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isobutanol,propene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-methyl-1-butanol,isobutene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-propanol,ehtylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polyethyleneterephthalate,ethylene glycol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polyethylene,ethene (ethylene),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polypropylene,propene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polyacrylonitrile,acrylonitrile,almost all polyacrylonitrile resins are copolymers made from mixtures of monomers with acrylonitrile as the main component.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polybutadiene,"1,3-butadiene","polybutadiene is a synthetic rubber that is a polymer formed from the polymerization process of the monomer 1,3-butadiene.","polybutadiene forms by linking many 1,3-butadiene monomers to make a much longer polymer chain molecule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polyvinyl chloride,vinyl chloride,"polyvinyl chloride, more correctly but unusually poly(vinyl chloride), commonly abbreviated pvc, is the world's third-most widely produced synthetic plastic polymer, after polyethylene and polypropylene.","== production ==
polyvinyl chloride is produced by polymerization of the vinyl chloride monomer (vcm), as shown.","=== vinyl chloride monomer ===

in the early 1970s, the carcinogenicity of vinyl chloride (usually called vinyl chloride monomer or vcm) was linked to cancers in workers in the polyvinyl chloride industry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polyvinyl acetate,vinyl acetate,polyvinyl acetate is prepared by polymerization of vinyl acetate monomer (free radical vinyl polymerization of the monomer vinyl acetate).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polystyrene,styrene,polystyrene (ps) /??p??li??sta??ri??n/ is a synthetic aromatic polymer made from the monomer styrene.,"=== polymerization ===
polystyrene results when styrene monomers interconnect.",syndiotactic polystyrene is prepared by combining a metallocene catalyst with a styrene monomer to generate a polystyrene chain with a syndiotactic structure.,"it is consistent with the t2ggm polystyrene degradation model (quintessa and geofirma 2011b), which considers the rate-limiting step for polystyrene degradation to be the breakup of polystyrene, rather than the degradation of styrene.",polystyrene copolymers are also produced; these contain one or more other monomers in addition to styrene.,"typical eps has an oxygen index of around 18 volume %; thus, a flame retardant is added to styrene or polystyrene during the formation of eps.","styrene can be copolymerized with other monomers; for example, divinylbenzene can be used for cross-linking the polystyrene chains to give the polymer used in solid phase peptide synthesis.","the study also reviewed all the published data on the quantity of styrene contributing to the diet due to migration of food packaging and disposable food contact articles, and concluded there is cause for limited concern for the general public from exposure to styrene from foods or styrenic materials used in food-contact applications, such as polystyrene packaging and food service containers, especially after microwaving.",the styrene monomer (from which polystyrene is made) is a cancer suspect agent.,polystyrene which is used for food contact may not contain more than 1% (0.5% for fatty foods) of styrene by weight.,styrene oligomers in polystyrene containers used for food packaging have been found to migrate into the food.,"another japanese study conducted on wild-type and ahr-null mice found that the styrene trimer, which the authors detected in cooked polystyrene container-packed instant foods, may increase thyroid hormone levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium silicate,sodium metasilicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carboxymethyl cellulose,carboxymethyl glucose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propylene tetramer,propylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaolin,potassium feldspar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chloroacetyl chloride,chloroacetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iodine,sodium iodate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrolein,propene,"== production ==
acrolein is prepared industrially by oxidation of propene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isopropyl acetate,propene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethenone,acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoxy resin,epichlorohydrin,"=== bisphenol a epoxy resin ===
important epoxy resins are produced from combining epichlorohydrin and bisphenol a to give bisphenol a diglycidyl ethers.","=== novolac epoxy resin ===
reaction of phenols with formaldehyde and subsequent glycidylation with epichlorohydrin produces epoxidised novolacs, such as epoxy phenol novolacs (epn) and epoxy cresol novolacs (ecn).","=== glycidylamine epoxy resin ===
glycidylamine epoxy resins are higher functionality epoxies which are formed when aromatic amines are reacted with epichlorohydrin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imidazole,glyoxal,"its synthesis, as shown below, used glyoxal and formaldehyde in ammonia to form imidazole (or glyoxaline, as it was originally named).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalidomide,glutamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl chloride,chlorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methanethiol,methanol,"== preparation ==
methanethiol is prepared commercially by the reaction of methanol with hydrogen sulfide gas over an acidic solid catalyst, such as alumina:
ch3oh + h2s ??? ch3sh + h2o
although impractical, it can be prepared by the reaction of methyl io",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copper naphthenate,naphthenic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentaerythritol,acetaldehyde,"== synthesis ==
pentaerythritol can be synthesized by reacting 1 mole acetaldehyde with 4 moles of formaldehyde.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypochlorous acid,chlorine,"== formation, stability and reactions ==
addition of chlorine to water gives both hydrochloric acid (hcl) and hypochlorous acid (hclo):
cl2 + h2o ??? hclo + hcl
cl2 + 4 oh??? ??? 2 clo??? + 2 h2o + 2 e???
cl2 + 2 e??? ??? 2 cl???
when acids are added to a","==== reaction with protein amino groups ====
hypochlorous acid reacts readily with amino acids that have amino group side-chains, with the chlorine from hclo displacing a hydrogen, resulting in an organic chloramine.","in acid conditions the solution produced will have a high hypochlorous acid concentration, but will also contain dissolved gaseous chlorine, which can be corrosive, at a neutral ph the solution will be around 75% hypochlorous acid and 25% hypochlorite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triethanolamine,ethylene oxide,"== production ==
triethanolamine is produced from the reaction of ethylene oxide with aqueous ammonia, also produced are ethanolamine and diethanolamine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium bisulfite,sulfur dioxide,"== synthesis ==
sodium bisulfite can be prepared by bubbling excess sulfur dioxide through a solution of suitable base, such as sodium hydroxide or sodium bicarbonate.","its conjugate base is the sulfite ion, so32???:
hso3??? ??? so32??? + h+
the theoretical fully protonated species is sulfurous acid (h2so3); however this does not exist in solution and treatment of sodium bisulfite with acids will result in decomposition with telltale effervescence of sulfur dioxide.","in the case of wine making, sodium bisulfite releases sulfur dioxide gas when added to water or products containing water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neopentyl glycol,hydroxypivaldehyde,"this creates the intermediate hydroxypivaldehyde, which can be converted to neopentyl glycol with either excess formaldehyde or catalytic hydrogenation of the aldehyde group to an alcohol group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium chlorite,chlorine dioxide,"== use ==
the main application of sodium chlorite is the generation of chlorine dioxide for bleaching and stripping of textiles, pulp, and paper.","chlorine dioxide generated from sodium chlorite is approved by fda under some conditions for disinfecting water used to wash fruits, vegetables, and poultry.","the chlorine dioxide is then absorbed into an alkaline solution and reduced with hydrogen peroxide (h
2o
2), yielding sodium chlorite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin c,methyl 2-keto-l-glunate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrahydrofuran,acetylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-butyne-1,4-diol",acetylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimethylamine,methanol,"dimethylamine is produced by catalytic reaction of methanol and ammonia at elevated temperatures and high pressure:
2 ch3oh + nh3 ??? (ch3)2nh + 2 h2o


== natural occurrence ==
dimethylamine is found quite widely distributed in animals and plants, and is present in many foods at the level of a few mg/kg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium sesquicarbonate,sodium carbonate,"sodium sesquicarbonate (systematic name trisodium hydrogendicarbonate) na3h(co3)2 is a double salt of sodium bicarbonate and sodium carbonate, and has a needle-like crystal structure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen peroxide,2-propanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silicon,silicon dioxide,"it is most widely distributed in dusts, sands, planetoids, and planets as various forms of silicon dioxide (silica) or silicates.","silicon is usually found in the form of complex silicate minerals, and less often as silicon dioxide (silica, a major component of common sand).","the crystals have the empirical formula of silicon dioxide, but do not consist of discrete silicon dioxide molecules in the manner of solid carbon dioxide.","silicon difluoride condenses to form a polymeric compound, (sif
2)n.
silicon dioxide (silica) is a high melting solid with a number of crystal forms; the most familiar of which is the mineral quartz.","with oxides of other elements, the high temperature reaction of silicon dioxide can give a wide range of mixed glasses and glass-like network solids with various properties.","thus, the vast majority of uses for silicon are as structural compounds, either as the silicate minerals or silica (crude silicon dioxide).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium,magnesium oxide,"once ignited, such fires are difficult to extinguish, with combustion continuing in nitrogen (forming magnesium nitride), carbon dioxide (forming magnesium oxide and carbon), and water (forming magnesium oxide and hydrogen).","=== compounds ===
magnesium forms a variety of compounds important to industry and biology, including magnesium carbonate, magnesium chloride, magnesium citrate, magnesium hydroxide (milk of magnesia), magnesium oxide, magnesium sulfate, and magnesium sul","magnesium reacts with carbon dioxide exothermically to form magnesium oxide and carbon:
2 mg + co
2 ??? 2 mgo + c (s)
hence, carbon dioxide fuels rather than extinguishes magnesium fires.","== useful compounds ==
magnesium compounds, primarily magnesium oxide (mgo), are used as a refractory material in furnace linings for producing iron, steel, nonferrous metals, glass, and cement.","magnesium oxide and other magnesium compounds are also used in the agricultural, chemical, and construction industries.",magnesium oxide from calcination is used as an electrical insulator in fire-resistant cables.,"magnesium oxide, one of the most common forms in magnesium dietary supplements because of its high magnesium content per weight, is the least bioavailable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trifluoroacetic acid,acetyl chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium bicarbonate,sodium chloride,"sodium bicarbonate has been found to have no effect on the blood pressure of several types of rat models susceptible to salt-sensitive hypertension, in contrast with sodium chloride.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcium chloride,sodium chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
